ID	SEV	PROTOCOLO	CLIENTE	ENDERECO	STATUS	LATITUDE	LONGITUDE	DESIGNACAO SERVICO	RAZAO SOCIAL	DISPONIBILIDADE REDE DESEJÁVEL
1	8221946	12981591	CLIENTE	-40,3846823,-14,5131528	Viável	-14.5131528	-40.3846823			99,650%
2	8221950	12981592	CLIENTE	-41,6361167,-14,2131393	Viável	-14.2131393	-41.6361167			99,650%
3	8221952	12981593	CLIENTE	-46,1758634,-13,8532409	Viável	-13.8532409	-46.1758634			99,650%
4	8221953	12981594	CLIENTE	-35,9791346,-7,25511807	Viável	-7.25511807	-35.9791346			99,650%
5	8221955	12981595	CLIENTE	-38,2738081,-12,6590512	Viável	-12.6590512	-38.2738081			99,650%
6	8221956	12981596	CLIENTE	-48,2665241,-21,7830558	Viável	-21.7830558	-48.2665241			99,650%
7	8994186	12981598	CLIENTE	-48,7002597,-26,9630274	Viável	-26.9630274	-48.7002597			99,650%
8	8994188	12981600	CLIENTE	-49,2946186,-26,864549	Viável	-26.864549	-49.2946186			99,650%
9	8994190	12981601	CLIENTE	-51,6011189,-25,9682885	Viável	-25.9682885	-51.6011189			99,650%
10	8994195	12981602	CLIENTE	-44,8077516,-12,1730463	Viável	-12.1730463	-44.8077516			99,650%
11	8994199	12981603	CLIENTE	-43,7715439,-22,6588885	Viável	-22.6588885	-43.7715439			99,650%
12	8994200	12981604	CLIENTE	-45,971808,-15,7513707	Viável	-15.7513707	-45.971808			99,650%
13	8994201	12981605	CLIENTE	-41,3481244,-21,831523	Viável	-21.831523	-41.3481244			99,650%
14	8994207	12981606	CLIENTE	-48,732957,-27,4844017	Viável	-27.4844017	-48.732957			99,650%
15	8994208	12981607	CLIENTE	-49,0212972,-26,8744752	Viável	-26.8744752	-49.0212972			99,650%
