ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
1	8221946	ABORDADO	NÃO
1	8221946	PRÓXIMO	NÃO
1	8221946	SEV ENDEREÇO	NÃO
1	8221946	SEV PRÓXIMA	NÃO
1	8221946	4G	Inviável			
1	8221946	FO GPON_RESID ETH	Inviável			
1	8221946	FO XGSPON RESID ETH	Inviável			
1	8221946	HFC BSoD	Inviável			
1	8221946	FO GPON_RESID ETH PRE VIAVEL	Inviável			
1	8221946	FO GPON ETH	Inviável			
1	8221946	FO EDD DIRETO CLARO	Inviável			
1	8221946	FO EDD CLARO PRE VIAVEL	Inviável			
1	8221946	FO EDD ETH	Inviável			
1	8221946	FOetherNET	Inviável			
1	8221946	FO SDH	Inviável			
1	8221946	ADE SDH	Inviável			
1	8221946	SATELITE BANDA KA	Inviável			
1	8221946	SATELITE BANDA KU	Inviável			
1	8221946	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
2	8221950	ABORDADO	NÃO
2	8221950	PRÓXIMO	NÃO
2	8221950	SEV ENDEREÇO	NÃO
2	8221950	SEV PRÓXIMA	NÃO
2	8221950	4G	Inviável			
2	8221950	FO GPON_RESID ETH	Inviável			
2	8221950	FO XGSPON RESID ETH	Inviável			
2	8221950	HFC BSoD	Inviável			
2	8221950	FO GPON_RESID ETH PRE VIAVEL	Inviável			
2	8221950	FO GPON ETH	Inviável			
2	8221950	FO EDD DIRETO CLARO	Inviável			
2	8221950	FO EDD CLARO PRE VIAVEL	Inviável			
2	8221950	FO EDD ETH	Inviável			
2	8221950	FOetherNET	Inviável			
2	8221950	FO SDH	Inviável			
2	8221950	ADE SDH	Inviável			
2	8221950	SATELITE BANDA KA	Inviável			
2	8221950	SATELITE BANDA KU	Inviável			
2	8221950	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / BRFIBRA / IG NETWORKS	SPO IG / SDR RC	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
3	8221952	ABORDADO	NÃO
3	8221952	PRÓXIMO	NÃO
3	8221952	SEV ENDEREÇO	NÃO
3	8221952	SEV PRÓXIMA	NÃO
3	8221952	4G	Inviável			
3	8221952	FO GPON_RESID ETH	Inviável			
3	8221952	FO XGSPON RESID ETH	Inviável			
3	8221952	HFC BSoD	Inviável			
3	8221952	FO GPON_RESID ETH PRE VIAVEL	Inviável			
3	8221952	FO GPON ETH	Inviável			
3	8221952	FO EDD DIRETO CLARO	Inviável			
3	8221952	FO EDD CLARO PRE VIAVEL	Inviável			
3	8221952	FO EDD ETH	Inviável			
3	8221952	FOetherNET	Inviável			
3	8221952	FO SDH	Inviável			
3	8221952	ADE SDH	Inviável			
3	8221952	SATELITE BANDA KA	Inviável			
3	8221952	SATELITE BANDA KU	Inviável			
3	8221952	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
4	8221953	ABORDADO	NÃO
4	8221953	PRÓXIMO	NÃO
4	8221953	SEV ENDEREÇO	NÃO
4	8221953	SEV PRÓXIMA	NÃO
4	8221953	4G	Inviável			
4	8221953	FO GPON_RESID ETH	Inviável			
4	8221953	FO XGSPON RESID ETH	Inviável			
4	8221953	HFC BSoD	Inviável	ESTAÇÃO ENTRONCAMENTO:RCE AM		
4	8221953	FO GPON_RESID ETH PRE VIAVEL	Inviável			
4	8221953	FO GPON ETH	Inviável			
4	8221953	FO EDD DIRETO CLARO	Inviável			
4	8221953	FO EDD CLARO PRE VIAVEL	Inviável			
4	8221953	FO EDD ETH	Inviável			
4	8221953	FOetherNET	Inviável			
4	8221953	FO SDH	Inviável			
4	8221953	ADE SDH	Inviável			
4	8221953	SATELITE BANDA KA	Inviável			
4	8221953	SATELITE BANDA KU	Inviável			
4	8221953	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / BRFIBRA	SPO IG / JPA TR	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
5	8221955	ABORDADO	NÃO
5	8221955	PRÓXIMO	NÃO
5	8221955	SEV ENDEREÇO	NÃO
5	8221955	SEV PRÓXIMA	NÃO
5	8221955	4G	Nuvem satélite parcialmente esgotada	NUVEM: 43S01BACAR0401 (Asset)		LTE
5	8221955	FO GPON_RESID ETH	Inviável			
5	8221955	FO XGSPON RESID ETH	Inviável			
5	8221955	HFC BSoD	Inviável			
5	8221955	FO GPON_RESID ETH PRE VIAVEL	Inviável			
5	8221955	FO GPON ETH	Inviável			
5	8221955	FO EDD DIRETO CLARO	Inviável			
5	8221955	FO EDD CLARO PRE VIAVEL	Inviável			
5	8221955	FO EDD ETH	Inviável			
5	8221955	FOetherNET	Inviável			
5	8221955	FO SDH	Inviável			
5	8221955	ADE SDH	Inviável			
5	8221955	SATELITE BANDA KA	Inviável			
5	8221955	SATELITE BANDA KU	Inviável			
5	8221955	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
6	8221956	ABORDADO	NÃO
6	8221956	PRÓXIMO	NÃO
6	8221956	SEV ENDEREÇO	NÃO
6	8221956	SEV PRÓXIMA	NÃO
6	8221956	4G	Nuvem satélite parcialmente esgotada	NUVEM: 43S01SIARQR201 (Asset)		LTE
6	8221956	FO GPON_RESID ETH	Inviável			
6	8221956	FO XGSPON RESID ETH	Inviável			
6	8221956	HFC BSoD	Inviável	ESTAÇÃO ENTRONCAMENTO:RPO TB		
6	8221956	FO GPON_RESID ETH PRE VIAVEL	Inviável			
6	8221956	FO GPON ETH	Inviável			
6	8221956	FO EDD DIRETO CLARO	Inviável			
6	8221956	FO EDD CLARO PRE VIAVEL	Inviável			
6	8221956	FO EDD ETH	Inviável			
6	8221956	FOetherNET	Inviável			
6	8221956	FO SDH	Inviável			
6	8221956	ADE SDH	Inviável			
6	8221956	SATELITE BANDA KA	Inviável			
6	8221956	SATELITE BANDA KU	Inviável			
6	8221956	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
7	8994186	ABORDADO	NÃO
7	8994186	PRÓXIMO	NÃO
7	8994186	SEV ENDEREÇO	NÃO
7	8994186	SEV PRÓXIMA	NÃO
7	8994186	4G	Inviável			
7	8994186	FO GPON_RESID ETH	Inviável			
7	8994186	FO XGSPON RESID ETH	Inviável			
7	8994186	HFC BSoD	Inviável	ESTAÇÃO ENTRONCAMENTO:FNS PO		
7	8994186	FO GPON_RESID ETH PRE VIAVEL	Inviável			
7	8994186	FO GPON ETH	Inviável			
7	8994186	FO EDD DIRETO CLARO	Inviável			
7	8994186	FO EDD CLARO PRE VIAVEL	Inviável			
7	8994186	FO EDD ETH	Inviável			
7	8994186	FOetherNET	Inviável			
7	8994186	FO SDH	Inviável			
7	8994186	ADE SDH	Inviável			
7	8994186	SATELITE BANDA KA	Inviável			
7	8994186	SATELITE BANDA KU	Inviável			
7	8994186	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / FNS PO	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
8	8994188	ABORDADO	NÃO
8	8994188	PRÓXIMO	NÃO
8	8994188	SEV ENDEREÇO	NÃO
8	8994188	SEV PRÓXIMA	NÃO
8	8994188	4G	Inviável			
8	8994188	FO GPON_RESID ETH	Inviável			
8	8994188	FO XGSPON RESID ETH	Inviável			
8	8994188	HFC BSoD	Inviável			
8	8994188	FO GPON_RESID ETH PRE VIAVEL	Inviável			
8	8994188	FO GPON ETH	Inviável			
8	8994188	FO EDD DIRETO CLARO	Inviável			
8	8994188	FO EDD CLARO PRE VIAVEL	Inviável			
8	8994188	FO EDD ETH	Inviável			
8	8994188	FOetherNET	Inviável			
