ID	SEV	GEOCODE OK	LATITUDE	LONGITUDE	DEGRAU PARA TERCEIROS	RESTRIÇÃO	4G	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO GPON_RESID ETH	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO XGSPON RESID ETH	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	HFC BSoD	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO GPON_RESID ETH PRE VIAVEL	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO GPON ETH	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO EDD DIRETO CLARO	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO EDD CLARO PRE VIAVEL	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO EDD ETH	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FOetherNET	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	FO SDH	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	ADE SDH	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	SATELITE BANDA KA	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	SATELITE BANDA KU	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	TERCEIROS ETH	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	RADIO IP	INFORMAÇÃO	ESTACAO ENTREGA	TECNOLOGIA	Id Acesso Abordado	Facilidade Abordado	Tecnologia Abordado	Estacao Entrega Abordado
1	8221946	SIM	-14.5131528	-40.3846823		NÃO	Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC		End. não localizado	 	 	 				
2	8221950	SIM	-14.2131393	-41.6361167		NÃO	Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / BRFIBRA / IG NETWORKS	SPO IG / SDR RC		End. não localizado	 	 	 				
3	8221952	SIM	-13.8532409	-46.1758634		NÃO	Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC		End. não localizado	 	 	 				
4	8221953	SIM	-7.25511807	-35.9791346		NÃO	Inviável				Inviável				Inviável				Inviável	ESTAÇÃO ENTRONCAMENTO:RCE AM			Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / BRFIBRA	SPO IG / JPA TR		End. não localizado	 	 	 				
5	8221955	SIM	-12.6590512	-38.2738081		NÃO	Nuvem satélite parcialmente esgotada	NUVEM: 43S01BACAR0401 (Asset)		LTE	Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC		End. não localizado	 	 	 				
6	8221956	SIM	-21.7830558	-48.2665241		NÃO	Nuvem satélite parcialmente esgotada	NUVEM: 43S01SIARQR201 (Asset)		LTE	Inviável				Inviável				Inviável	ESTAÇÃO ENTRONCAMENTO:RPO TB			Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG		End. não localizado	 	 	 				
7	8994186	SIM	-26.9630274	-48.7002597		NÃO	Inviável				Inviável				Inviável				Inviável	ESTAÇÃO ENTRONCAMENTO:FNS PO			Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / FNS PO		End. não localizado	 	 	 				
8	8994188	SIM	-26.864549	-49.2946186		NÃO	Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE	SPO IG		End. não localizado	 	 	 				
9	8994190	SIM	-25.9682885	-51.6011189		NÃO	Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE	SPO IG		End. não localizado	 	 	 				
10	8994195	SIM	-12.1730463	-44.8077516		NÃO	Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Inviável				Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC		End. não localizado	 	 	 				
