sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8703216;-8,09427777;-35,2574166;PE;VSA;TERCEIROS ETH;26;BRFIBRA;127;RCE AM;NAO;;800;454,3;3;1630515;;;;;;11835138;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA RCE AM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703217;-25,5664444;-49,1869444;PR;SJP;TERCEIROS ETH;26;BRFIBRA;127;CTA MR;NAO;;800;454,3;3;1630516;;;;;;11835139;FECHAMENTO NFV FASE 2/NUVEM SJP MFR_SJP MFR_07_SJP SITE  /ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703218;-28,4511352;-52,1973416;RS;MRA;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;421,7619082;3;1630517;;;;;;11835140;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703219;-29,2662901;-51,5539486;RS;GRD;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;359,93828;3;1630518;;;;;;11835141;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703220;-28,4684863;-52,211602;RS;MRA;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;634,367131;3;1630519;;;;;;11835142;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703221;-26,4026666;-53,1733611;SC;CEW;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;10404,47867;338,9420512;3;1630520;;;;;;11835143;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703222;-13,8282222;-56,0723055;MT;NMM;TERCEIROS ETH;26;BRFIBRA;127;CBA MC;NAO;;1000;1266,27;3;1630521;;110843;;;;11835144;FECHAMENTO NFV FASE 2/NMM EN_NMM EN_NMM NMM EN/ESTACAO ENTREGA CBA MC/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703223;-25,083;-50,1219166;PR;PGO;TERCEIROS ETH;26;VTAL - PR;459;FNS PO;NAO;;10404,47867;710,6936081;3;1630522;;;;;;11835145;FECHAMENTO NFV FASE 2/PGO RB_PGO RB_02_PGO PGO RB/ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703224;-25,7658333;-53,0726111;PR;DVZ;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;10404,47867;962,4554941;3;1630523;;111311;;;;11835146;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703225;-23,5723611;-46,6329166;SP;SOC;TERCEIROS ETH;26;UPIX - SP;471;SPO IG;NAO;;990;639;3;1630524;;;;;;11835147;FECHAMENTO NFV FASE 2/SPOIG_ANEL_AVENIDA_DO_ESTADO SPO IG/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703226;-19,1746388;-47,6854166;MG;NVN;TERCEIROS ETH;26;IG NETWORKS;146;BHE ES;NAO;;2970;1760;3;1630525;;;;;;11835148;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA BHE ES/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703227;-17,8866111;-51,6510833;GO;JTI;TERCEIROS ETH;26;VTAL - GO;450;GNA RD;NAO;;10506,53229;520,1150715;3;1630526;;;;;;11835149;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA GNA RD/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703228;-23,7065555;-46,5486111;SP;SBO;TERCEIROS ETH;26;BRFIBRA;127;SPO MB;NAO;;800;444,4;3;1630527;;;;;;11835150;FECHAMENTO NFV FASE 2/ANEL_SNE_SBO LL SBO VE/ESTACAO ENTREGA SPO MB/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703229;-23,5564166;-46,6624166;SP;SPO;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;1485;1408;3;1630528;;;;;;11835151;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703230;-16,8246111;-49,2161388;GO;ACG;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;1000;770;3;1630529;;110844;;;;11835152;FECHAMENTO NFV FASE 2/ACG PAI_ACG PAI_ACG ACG PAI/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703231;-23,62575;-46,7052222;SP;SPO;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;1000;1540;3;1630530;;110845;;;;11835153;FECHAMENTO NFV FASE 2/SPOMB_ANEL_CENESP SPO MB/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703232;-23,1585555;-47,0031944;SP;JAI;TERCEIROS ETH;26;UPIX - SP;471;SPO IG;NAO;;990;1782;3;1630531;;110846;;;;11835154;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
